1;2791.00;10.10;1571.00;big
1;2760.00;10.43;1563.00;big
2;2763.00;11.38;1612.00;big
2;2734.00;11.30;1576.00;big
3;2720.00;13.20;1692.00;big
3;2735.00;11.82;1657.00;big
4;2684.00;9.98;1614.00;big
4;2663.00;10.05;1586.00;big
5;2879.00;10.05;1528.00;big
5;2894.00;9.60;1561.00;big
6;2945.00;9.70;1573.00;big
6;2967.00;9.70;1632.00;big
7;2931.00;10.80;1515.00;big
7;2975.00;11.25;1493.00;big
8;3048.00;9.80;1564.00;big
8;3002.00;9.80;1563.00;big
9;3099.00;9.98;1685.00;big
9;3137.00;9.50;1742.00;big
10;3047.00;10.10;1714.00;big
10;3026.00;10.38;1661.00;big
11;2932.00;14.12;1735.00;big
11;2971.00;12.70;1794.00;big
12;3330.00;11.05;1927.00;big
12;3228.00;10.70;1924.00;big
13;3184.00;9.50;1779.00;big
13;3259.00;9.73;1794.00;big
14;3902.00;9.70;1678.00;big
14;3787.00;10.40;1688.00;big
16;2821.00;9.50;1650.00;big
16;2800.00;9.50;1783.00;big
17;3425.00;10.10;673.00;big
17;3455.00;11.75;814.00;big
18;2836.00;9.50;1555.00;big
18;2754.00;9.50;1518.00;big
19;2850.00;9.80;1496.00;big
19;2896.00;10.38;1479.00;big
20;2826.00;10.00;1407.00;big
20;2887.00;9.73;1414.00;big
21;2944.00;10.25;1432.00;big
21;3023.00;14.18;1465.00;big
22;3041.00;11.75;1519.00;big
22;3101.00;12.53;1496.00;big
23;2991.00;11.12;1389.00;big
23;3045.00;9.88;1329.00;big
24;3127.00;11.38;1375.00;big
24;3067.00;10.93;1417.00;big
25;3224.00;9.75;1347.00;big
25;3152.00;10.45;1312.00;big
26;3240.00;9.90;1450.00;big
26;3199.00;10.25;1387.00;big
27;3170.00;15.30;1452.00;big
27;3096.00;9.80;1457.00;big
28;3482.00;9.80;1213.00;big
28;3364.00;10.10;1185.00;big
29;3029.00;9.50;1248.00;big
29;3121.00;9.50;1237.00;big
30;3260.00;9.50;1382.00;big
30;3359.00;9.50;1389.00;big
31;4025.00;10.57;831.00;big
